District,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare),Crop,State
NADIA, 2016-17,Rabi       ,365,452,1.238356164,Arhar/Tur,West Bengal
NADIA, 2017-18,Rabi       ,225,371,1.648888889,Arhar/Tur,West Bengal
NADIA, 2018-19,Rabi       ,183,286,1.56284153,Arhar/Tur,West Bengal
NADIA, 2019-20,Rabi       ,325,1062,3.267692308,Arhar/Tur,West Bengal
"PASCHIM BARDHAMAN
", 2016-17,Rabi       ,9,11,1.222222222,Arhar/Tur,West Bengal
"PASCHIM BARDHAMAN
", 2017-18,Rabi       ,12,20,1.666666667,Arhar/Tur,West Bengal
"PASCHIM BARDHAMAN
", 2018-19,Rabi       ,4,6,1.5,Arhar/Tur,West Bengal
PURBA BARDHAMAN, 1997-98,Whole Year ,652,340,0.521472393,Arhar/Tur,West Bengal
PURBA BARDHAMAN, 1998-99,Kharif     ,557,380,0.682226212,Arhar/Tur,West Bengal
PURBA BARDHAMAN, 1999-00,Kharif     ,127,78,0.614173228,Arhar/Tur,West Bengal
PURBA BARDHAMAN, 2000-01,Kharif     ,628,420,0.668789809,Arhar/Tur,West Bengal
PURBA BARDHAMAN, 2001-02,Kharif     ,327,154,0.470948012,Arhar/Tur,West Bengal
PURBA BARDHAMAN, 2002-03,Kharif     ,115,178,1.547826087,Arhar/Tur,West Bengal
PURBA BARDHAMAN, 2003-04,Kharif     ,221,224,1.013574661,Arhar/Tur,West Bengal
PURBA BARDHAMAN, 2005-06,Rabi       ,24,19,0.791666667,Arhar/Tur,West Bengal
PURBA BARDHAMAN, 2007-08,Rabi       ,22,10,0.454545455,Arhar/Tur,West Bengal
PURBA BARDHAMAN, 2009-10,Rabi       ,12,3,0.25,Arhar/Tur,West Bengal
PURBA BARDHAMAN, 2010-11,Rabi       ,18,16,0.888888889,Arhar/Tur,West Bengal
PURBA BARDHAMAN, 2011-12,Rabi       ,70,23,0.328571429,Arhar/Tur,West Bengal
PURBA BARDHAMAN, 2012-13,Rabi       ,70,93,1.328571429,Arhar/Tur,West Bengal
PURBA BARDHAMAN, 2013-14,Rabi       ,76,95,1.25,Arhar/Tur,West Bengal
PURBA BARDHAMAN, 2014-15,Rabi       ,83,98,1.180722892,Arhar/Tur,West Bengal
PURBA BARDHAMAN, 2015-16,Rabi       ,7,5,0.714285714,Arhar/Tur,West Bengal
PURBA BARDHAMAN, 2016-17,Rabi       ,81,100,1.234567901,Arhar/Tur,West Bengal
PURBA BARDHAMAN, 2017-18,Rabi       ,108,178,1.648148148,Arhar/Tur,West Bengal
PURBA BARDHAMAN, 2018-19,Rabi       ,46,72,1.565217391,Arhar/Tur,West Bengal
PURBA BARDHAMAN, 2019-20,Rabi       ,55,180,3.272727273,Arhar/Tur,West Bengal
PURULIA, 1997-98,Whole Year ,1510,790,0.523178808,Arhar/Tur,West Bengal
PURULIA, 1998-99,Kharif     ,756,300,0.396825397,Arhar/Tur,West Bengal
PURULIA, 1999-00,Kharif     ,1317,648,0.492027335,Arhar/Tur,West Bengal
PURULIA, 2000-01,Kharif     ,2071,640,0.309029454,Arhar/Tur,West Bengal
PURULIA, 2001-02,Kharif     ,867,507,0.584775087,Arhar/Tur,West Bengal
PURULIA, 2002-03,Kharif     ,598,374,0.62541806,Arhar/Tur,West Bengal
PURULIA, 2003-04,Kharif     ,6,6,1,Arhar/Tur,West Bengal
PURULIA, 2004-05,Rabi       ,398,292,0.733668342,Arhar/Tur,West Bengal
PURULIA, 2005-06,Rabi       ,1253,1020,0.814046289,Arhar/Tur,West Bengal
PURULIA, 2006-07,Rabi       ,1234,1024,0.829821718,Arhar/Tur,West Bengal
PURULIA, 2007-08,Rabi       ,415,308,0.742168675,Arhar/Tur,West Bengal
PURULIA, 2008-09,Rabi       ,144,63,0.4375,Arhar/Tur,West Bengal
PURULIA, 2009-10,Rabi       ,107,73,0.682242991,Arhar/Tur,West Bengal
PURULIA, 2010-11,Rabi       ,105,95,0.904761905,Arhar/Tur,West Bengal
PURULIA, 2011-12,Rabi       ,66,45,0.681818182,Arhar/Tur,West Bengal
PURULIA, 2012-13,Rabi       ,107,240,2.242990654,Arhar/Tur,West Bengal
PURULIA, 2013-14,Rabi       ,332,406,1.222891566,Arhar/Tur,West Bengal
